,State,Crime Rate,Year,Total,Number,Standard error,Poverty Percent
0,Alabama,8.3,2006,4532,650,56,14.3
1,Alaska,5.4,2006,658,58,7,8.9
2,Arizona,7.5,2006,6256,902,71,14.4
3,Arkansas,7.3,2006,2748,487,38,17.7
4,California,6.8,2006,36160,4427,160,12.2
5,Colorado,3.3,2006,4797,466,52,9.7
6,Connecticut,3.1,2006,3457,275,34,8.0
7,Delaware,4.9,2006,858,80,9,9.3
8,Florida,6.2,2006,18029,2068,104,11.5
9,Georgia,6.4,2006,9334,1172,76,12.6
10,Hawaii,1.6,2006,1254,116,13,9.2
11,Idaho,2.5,2006,1472,141,16,9.5
12,Illinois,6.1,2006,12633,1338,85,10.6
13,Indiana,5.8,2006,6334,674,59,10.6
14,Iowa,1.8,2006,2913,301,33,10.3
15,Kansas,4.6,2006,2719,349,34,12.8
16,Kentucky,4.0,2006,4106,690,56,16.8
17,Louisiana,12.4,2006,4206,713,57,17.0
18,Maine,1.7,2006,1313,134,16,10.2
19,Maryland,9.7,2006,5607,469,51,8.4
20,Massachusetts,2.9,2006,6324,758,61,12.0
21,Michigan,7.1,2006,9953,1323,81,13.3
22,Minnesota,2.4,2006,5145,422,47,8.2
23,Mississippi,7.7,2006,2887,596,42,20.6
24,Missouri,6.3,2006,5797,659,58,11.4
25,Montana,1.8,2006,930,125,12,13.5
26,Nebraska,2.8,2006,1765,180,20,10.2
27,Nevada,9.0,2006,2530,241,28,9.5
28,New Hampshire,1.0,2006,1308,71,11,5.4
29,New Jersey,4.9,2006,8650,762,64,8.8
30,New Mexico,6.8,2006,1939,328,29,16.9
31,New York,4.8,2006,19021,2668,119,14.0
32,North Carolina,6.1,2006,8847,1225,79,13.8
33,North Dakota,1.3,2006,615,70,7,11.4
34,Ohio,4.7,2006,11297,1371,83,12.1
35,Oklahoma,5.8,2006,3489,531,47,15.2
36,Oregon,2.3,2006,3705,439,45,11.8
37,Pennsylvania,5.9,2006,12326,1397,84,11.3
38,Rhode Island,2.6,2006,1054,110,13,10.5
39,South Carolina,8.3,2006,4224,474,49,11.2
40,South Dakota,1.2,2006,770,82,8,10.7
41,Tennessee,6.8,2006,5916,879,65,14.9
42,Texas,5.9,2006,23208,3816,147,16.4
43,Utah,1.8,2006,2536,235,25,9.3
44,Vermont,1.9,2006,618,48,6,7.8
45,Virginia,5.2,2006,7532,651,58,8.6
46,Washington,3.0,2006,6310,502,53,8.0
47,West Virginia,4.1,2006,1810,277,22,15.3
48,Wisconsin,3.0,2006,5471,555,54,10.1
49,Wyoming,1.7,2006,516,51,6,10.0
50,Alabama,8.9,2007,4566,662,56,14.5
51,Alaska,6.4,2007,675,51,7,7.6
52,Arizona,7.4,2007,6365,912,71,14.3
53,Arkansas,6.7,2007,2803,387,35,13.8
54,California,6.2,2007,36247,4589,163,12.7
55,Colorado,3.1,2007,4872,478,52,9.8
56,Connecticut,3.0,2007,3471,309,36,8.9
57,Delaware,4.3,2007,861,80,9,9.3
58,Florida,6.6,2007,18044,2250,108,12.5
59,Georgia,7.5,2007,9486,1294,80,13.6
60,Hawaii,1.7,2007,1264,94,12,7.5
61,Idaho,3.3,2007,1501,149,16,9.9
62,Illinois,5.9,2007,12680,1262,82,10.0
63,Indiana,5.6,2007,6258,740,61,11.8
64,Iowa,1.2,2007,2965,264,31,8.9
65,Kansas,3.9,2007,2720,319,33,11.7
66,Kentucky,4.8,2007,4202,653,55,15.5
67,Louisiana,14.2,2007,4186,673,56,16.1
68,Maine,1.6,2007,1312,142,16,10.9
69,Maryland,9.8,2007,5560,491,52,8.8
70,Massachusetts,2.9,2007,6336,707,59,11.2
71,Michigan,6.7,2007,9919,1076,74,10.8
72,Minnesota,2.2,2007,5188,482,50,9.3
73,Mississippi,7.1,2007,2895,655,44,22.6
74,Missouri,6.5,2007,5783,742,62,12.8
75,Montana,1.5,2007,938,122,12,13.0
76,Nebraska,3.8,2007,1751,174,20,9.9
77,Nevada,7.5,2007,2566,250,28,9.7
