STATE,Total,Number,Standard error,Percent
Alabama,4717,812,83,17.2
Alaska,695,87,10,12.5
Arizona,6426,1208,108,18.8
Arkansas,2879,440,45,15.3
California,37240,6073,212,16.3
Colorado,4995,615,54,12.3
Connecticut,3541,303,27,8.6
Delaware,890,109,10,12.2
D.C.,604,118,8,19.5
Florida,18759,3006,127,16
Georgia,9650,1814,104,18.8
Hawaii,1311,162,15,12.4
Idaho,1543,213,23,13.8
Illinois,12784,1798,101,14.1
Indiana,6390,1041,95,16.3
Iowa,2977,307,30,10.3
Kansas,2766,400,39,14.5
Kentucky,4270,754,65,17.7
Louisiana,4418,949,69,21.5
Maine,1298,164,15,12.6
Maryland,5786,628,50,10.9
Massachusetts,6532,711,68,10.9
Michigan,9751,1530,110,15.7
Minnesota,5217,563,43,10.8
Mississippi,2920,658,44,22.5
Missouri,5929,890,79,15
Montana,979,142,17,14.5
Nebraska,1804,184,20,10.2
Nevada,2696,446,35,16.6
New Hampshire,1294,84,8,6.5
New Jersey,8733,966,89,11.1
New Mexico,2033,372,30,18.3
New York,19116,3062,147,16
North Carolina,9359,1633,90,17.4
North Dakota,653,82,6,12.6
Ohio,11341,1746,118,15.4
Oklahoma,3697,603,62,16.3
Oregon,3752,537,44,14.3
Pennsylvania,12530,1535,84,12.2
Rhode Island,1042,146,11,14
South Carolina,4563,773,53,16.9
South Dakota,799,109,9,13.6
Tennessee,6315,1052,85,16.7
Texas,25200,4633,196,18.4
Utah,2768,278,30,10
Vermont,624,67,7,10.8
Virginia,7837,835,73,10.7
Washington,6713,779,73,11.6
West Virginia,1816,306,23,16.8
Wisconsin,5626,567,52,10.1
Wyoming,550,53,5,9.6
